;covid_longa;sexo_n;faixa_etaria_n;raca_n;raca_Branca;raca_Parda;raca_Outras;faixa_etaria_Jovem;faixa_etaria_Adulto;faixa_etaria_Idoso;sexo_F;sexo_M;vacina;nosocomial;dispneia;cardiopatia;hematologica;sindrome_down;hepatica;asma;diabetes;neurologica;pneumopatia;imunodepressao;renal;obesidade
0;0;1.0;1;1;779.0;0.0;0.0;779.0;0.0;0.0;0.0;779.0;72;21;338;23;4;11;1;43;11;49;17;20;9;14
1;0;1.0;1;2;0.0;822.0;0.0;822.0;0.0;0.0;0.0;822.0;88;30;440;22;17;10;3;41;10;38;10;23;11;4
2;0;1.0;1;3;0.0;0.0;481.0;481.0;0.0;0.0;0.0;481.0;50;9;206;16;7;7;1;32;3;24;7;14;4;6
3;0;1.0;2;1;17802.0;0.0;0.0;0.0;17802.0;0.0;0.0;17802.0;3254;244;13212;3107;56;69;121;360;2010;260;178;336;317;2102
4;0;1.0;2;2;0.0;13761.0;0.0;0.0;13761.0;0.0;0.0;13761.0;2272;229;10086;2265;49;36;88;209;1706;194;131;251;270;1252
5;0;1.0;2;3;0.0;0.0;9416.0;0.0;9416.0;0.0;0.0;9416.0;1645;123;6668;1651;38;25;60;178;1081;106;91;131;170;999
6;0;1.0;3;1;18798.0;0.0;0.0;0.0;0.0;18798.0;0.0;18798.0;8129;477;13168;8293;158;32;206;292;5526;1076;1155;589;961;1156
7;0;1.0;3;2;0.0;12401.0;0.0;0.0;0.0;12401.0;0.0;12401.0;4188;324;8916;4728;89;17;112;171;3317;472;514;249;605;511
8;0;1.0;3;3;0.0;0.0;8367.0;0.0;0.0;8367.0;0.0;8367.0;2955;186;5522;3518;54;11;79;112;2330;391;387;184;457;370
9;0;2.0;1;1;665.0;0.0;0.0;665.0;0.0;0.0;665.0;0.0;92;15;330;23;6;12;6;42;15;46;17;21;6;20
10;0;2.0;1;2;0.0;677.0;0.0;677.0;0.0;0.0;677.0;0.0;71;14;326;23;10;7;1;46;10;27;12;13;4;3
11;0;2.0;1;3;0.0;0.0;399.0;399.0;0.0;0.0;399.0;0.0;50;8;180;16;6;4;0;19;7;23;10;5;2;5
12;0;2.0;2;1;12998.0;0.0;0.0;0.0;12998.0;0.0;12998.0;0.0;2813;167;9334;2412;73;64;77;501;1778;235;169;307;211;1922
13;0;2.0;2;2;0.0;9825.0;0.0;0.0;9825.0;0.0;9825.0;0.0;1879;166;7097;1869;50;42;62;331;1470;142;141;228;213;1224
