;covid_longa;sexo_n;faixa_etaria_n;raca_n;asma;cardiopatia;diabetes;dispneia;Adulto;Idoso;Jovem;hematologica;hepatica;imunodepressao;neurologica;nosocomial;obesidade;pneumopatia;Branca;Outras;Parda;renal;Fem;Masc;sindrome_down;vacina
0;0;1.0;1;1;42;32;5;329;0.0;0.0;733.0;12;6;21;45;17;19;11;733.0;0.0;0.0;7;0.0;733.0;16;69
1;0;1.0;1;2;40;25;4;436;0.0;0.0;796.0;12;2;16;40;22;13;10;0.0;0.0;796.0;10;0.0;796.0;10;73
2;0;1.0;1;3;29;11;5;198;0.0;0.0;471.0;7;3;9;15;8;11;6;0.0;471.0;0.0;5;0.0;471.0;8;36
3;0;1.0;2;1;363;3177;1997;13511;18210.0;0.0;0.0;74;118;289;270;233;2211;177;18210.0;0.0;0.0;281;0.0;18210.0;58;3073
4;0;1.0;2;2;229;2300;1723;10508;14228.0;0.0;0.0;56;99;237;179;228;1319;124;0.0;0.0;14228.0;268;0.0;14228.0;44;2261
5;0;1.0;2;3;166;1649;1064;6595;9443.0;0.0;0.0;23;53;158;100;128;974;72;0.0;9443.0;0.0;170;0.0;9443.0;26;1647
6;0;1.0;3;1;290;8231;5394;13182;0.0;18645.0;0.0;148;184;494;1137;418;1167;1072;18645.0;0.0;0.0;986;0.0;18645.0;27;8009
7;0;1.0;3;2;161;4700;3254;8946;0.0;12368.0;0.0;87;105;235;458;330;538;458;0.0;0.0;12368.0;570;0.0;12368.0;21;4164
8;0;1.0;3;3;110;3497;2333;5433;0.0;8277.0;0.0;52;79;172;354;185;403;368;0.0;8277.0;0.0;472;0.0;8277.0;12;2847
9;0;2.0;1;1;26;18;12;310;0.0;0.0;658.0;5;0;13;34;15;20;10;658.0;0.0;0.0;6;658.0;0.0;14;74
10;0;2.0;1;2;32;18;7;340;0.0;0.0;659.0;11;2;20;24;17;7;7;0.0;0.0;659.0;4;659.0;0.0;5;59
11;0;2.0;1;3;23;16;6;172;0.0;0.0;417.0;5;1;7;19;8;8;6;0.0;417.0;0.0;0;417.0;0.0;6;48
12;0;2.0;2;1;508;2484;1831;9373;13026.0;0.0;0.0;71;56;290;219;162;1916;156;13026.0;0.0;0.0;238;13026.0;0.0;68;2717
13;0;2.0;2;2;346;1873;1420;7311;10053.0;0.0;0.0;53;47;256;124;178;1205;124;0.0;0.0;10053.0;219;10053.0;0.0;36;1872
14;0;2.0;2;3;224;1235;863;4282;6171.0;0.0;0.0;42;39;131;83;93;789;63;0.0;6171.0;0.0;98;6171.0;0.0;15;1240
15;0;2.0;3;1;507;8256;5550;12497;0.0;17772.0;0.0;172;135;532;1175;358;1630;903;17772.0;0.0;0.0;673;17772.0;0.0;28;7605
16;0;2.0;3;2;252;4702;3540;8184;0.0;11254.0;0.0;78;69;221;426;239;892;433;0.0;0.0;11254.0;381;11254.0;0.0;23;3855
